provincia,score,VALORE
Trento,"79,98",
Mantova,"76,745",
Pordenone,"76,707",
Bolzano,"75,865",
Reggio Emilia,"74,685",
Belluno,"74,378",
Parma,"74,007",
Cosenza,"70,582",
Biella,"69,454",
Verbania,"68,894",
Treviso,"67,772",
Forlì-Cesena,"67,619",
Cremona,"66,612",
Rimini,"65,752",
Cuneo,"63,853",
Bologna,"63,746",
La Spezia,"63,698",
Sondrio,"63,529",
Macerata,"63,464",
Pesaro,"63,299",
Lucca,"62,958",
Ferrara,"62,864",
Perugia,"62,358",
Firenze,"62,357",
Lodi,"62,221",
Udine,"62,177",
Venezia,"61,306",
Oristano,"60,59",
Milano,"60,221",
Bergamo,"60,108",
Avellino,"59,849",
Cagliari,"59,772",
Gorizia,"59,711",
Brescia,"59,68",
Terni,"59,412",
Teramo,"59,144",
Como,"58,968",
Rieti,"58,637",
Padova,"58,071",
Trieste,"57,697",
Nuoro,"57,633",
Novara,"56,396",
Genova,"56,019",
Ancona,"55,826",
Livorno,"55,817",
Savona,"55,8",
L'Aquila,"55,469",
Siena,"55,264",
Imperia,"54,918",
Agrigento,"54,425",
Ravenna,"54,407",
Catanzaro,"54,31",
Pavia,"54,168",
Arezzo,"54,163",
Pisa,"53,822",
Aosta,"53,797",
Lecce,"53,796",
Vicenza,"53,703",
Vercelli,"52,877",
Benevento,"52,744",
Modena,"52,406",
Varese,"52,323",
Lecco,"51,927",
Asti,"51,89",
Piacenza,"51,13",
Enna,"50,931",
Sassari,"49,531",
Prato,"49,394",
Ascoli Piceno,"48,885",
Verona,"48,73",
Viterbo,"47,801",
Frosinone,"47,181",
Chieti,"46,516",
Reggio Calabria,"46,086",
Potenza,"45,904",
Trapani,"44,849",
Salerno,"44,79",
Rovigo,"42,759",
Crotone,"42,55",
Torino,"42,433",
Brindisi,"42,311",
Grosseto,"41,989",
Pistoia,"41,639",
Bari,"41,61",
Monza,"41,455",
Taranto,"41,277",
Caltanissetta,"40,963",
Foggia,"40,689",
Roma,"38,942",
Napoli,"38,91",
Campobasso,"38,529",
Massa,"37,132",
Alessandria,"36,48",
Matera,"36,192",
Caserta,"35,978",
Latina,"35,444",
Messina,"34,606",
Isernia,"33,968",
Siracusa,"32,148",
Ragusa,"29,445",
Catania,"27,484",
Pescara,"27,239",
Palermo,"27,059",
Vibo Valentia,"23,312",